,class
63,1
493,0
805,1
76,0
553,0
704,1
193,0
870,1
317,1
533,1
919,1
558,0
726,1
38,0
325,0
172,0
658,0
194,1
567,0
513,1
232,0
775,1
880,1
257,1
434,0
807,1
216,1
746,1
953,1
696,0
243,0
3,1
422,0
196,0
455,0
207,0
314,0
178,0
636,0
542,0
111,1
647,1
725,1
521,1
705,1
14,1
381,0
584,1
896,1
348,1
679,1
927,1
240,0
602,0
186,0
568,0
8,0
622,0
935,1
62,0
523,0
424,0
574,0
754,1
460,1
478,0
650,1
663,0
162,0
440,0
54,1
308,0
860,1
301,1
291,0
379,0
929,1
289,0
838,1
237,1
78,0
873,1
772,1
26,0
887,1
6,1
33,1
209,1
264,0
190,1
376,1
925,1
733,1
511,1
774,1
322,0
77,1
824,1
206,1
331,0
212,0
534,1
841,1
40,0
828,1
22,0
321,1
263,0
634,1
175,0
882,1
516,0
259,0
543,0
89,0
349,0
562,0
69,0
47,0
884,1
99,0
629,0
547,0
937,1
697,1
335,0
611,0
626,1
734,1
357,0
24,0
484,0
214,0
818,1
614,1
686,0
375,0
373,1
788,1
691,0
924,1
711,1
839,1
150,0
318,0
365,0
761,1
419,1
93,0
585,0
281,0
433,0
272,0
167,0
934,1
580,0
800,1
638,0
115,1
639,0
742,1
736,1
671,1
126,0
231,0
703,1
503,0
530,1
1,1
358,0
869,1
718,1
627,0
151,0
488,1
72,0
255,1
598,1
65,0
137,0
213,0
891,1
371,0
157,0
37,0
92,0
868,1
823,1
613,1
573,0
7,1
770,1
842,1
235,0
122,0
727,1
791,1
477,0
97,1
309,1
654,0
871,1
762,1
444,0
56,1
280,0
655,0
467,0
559,0
683,0
685,0
320,1
262,1
751,1
729,1
538,0
748,1
767,1
496,0
337,0
675,0
794,1
416,0
950,1
609,0
737,1
682,1
278,0
2,0
864,1
210,0
181,0
898,1
512,1
155,0
86,0
204,1
354,0
399,1
397,0
49,0
688,0
36,1
405,1
23,0
549,1
21,0
901,1
328,0
843,1
116,0
226,0
551,0
923,1
364,0
796,1
457,0
578,0
443,0
42,0
64,0
230,1
53,0
123,1
879,1
338,1
428,0
52,1
713,1
491,0
940,1
57,0
730,1
928,1
290,0
32,1
251,1
385,0
473,0
215,0
48,1
100,0
249,0
10,0
356,0
84,0
68,0
947,1
